1	23 , 30 , 35 , 45 , 46 , 47 , 67
2	79
3	32 , 52 , 71
4	4 , 11 , 22 , 60 , 64
5	1 , 8 , 53 , 57 , 61 , 94 , 98 , 99
6	9 , 44 , 49
7	7 , 15 , 62 , 66 , 76 , 81 , 86 , 87 , 90
8	14 , 25 , 42 , 50 , 100
9	16 , 18 , 21 , 69 , 74 , 80
10	3 , 26 , 33 , 40 , 56 , 84 , 91
11	10 , 20 , 27 , 41 , 55 , 73 , 77 , 78 , 85 , 88 , 89
12	38 , 65
13	12 , 19 , 39 , 54 , 58 , 75 , 93
14	59 , 70
15	28 , 36 , 37 , 68 , 72 , 92
16	31
17	2 , 6 , 13 , 17 , 24 , 29 , 34 , 51 , 63 , 97
18	
19	48 , 82 , 83 , 95 , 96
20	5 , 43
Sum of Squared Error for clustering with [k = 20] : 0.6302944852453102
