1	12 , 39 , 58 , 75 , 93
2	10 , 19 , 20 , 27 , 41 , 54 , 55 , 73 , 77 , 78 , 85 , 88 , 89
3	4 , 11 , 22 , 28 , 37 , 59 , 60 , 64 , 68 , 70 , 72 , 92
4	6 , 13 , 38 , 56 , 97
5	32 , 36 , 52 , 71
6	3 , 14 , 25 , 26 , 33 , 40 , 42 , 50 , 84 , 91 , 100
7	16 , 18 , 21 , 69 , 74 , 80
8	48 , 82 , 83 , 95 , 96
9	2 , 17 , 24 , 29 , 34 , 51 , 63 , 94
10	1 , 8 , 53 , 57 , 61 , 65 , 98 , 99
11	31 , 79
12	5 , 7 , 9 , 15 , 23 , 30 , 35 , 43 , 44 , 45 , 46 , 47 , 49 , 62 , 66 , 67 , 76 , 81 , 86 , 87 , 90
Sum of Squared Error for clustering with [k = 12] : 0.8810576319680319
